,Date,Price,EMA12,EMA26,MACD,SIGNAL,CROSS,DIRECTION
363,2023-06-18,26339.7,26107.487143105158,26362.452552026036,-254.96540892087796,-324.8748284314345,True,NONE
364,2023-06-19,26845.9,26213.483118653738,26394.290560710604,-180.80744205686642,-297.603570623443,True,NONE
365,2023-06-20,28307.7,26574.56524656212,26557.00534956874,17.5598969933817,-228.99961223755272,True,NONE
366,2023-06-21,29996.9,27170.26658457194,26849.13633437517,321.13025019676934,-104.69309158719216,True,NONE
367,2023-06-22,29890.5,27656.27794282382,27108.12021501761,548.1577278062105,46.72543189133843,True,NONE
368,2023-06-23,30679.4,28217.075085966375,27413.171938808617,803.9031471577582,225.588460986316,True,NONE
369,2023-06-24,30533.6,28664.608895754154,27670.416417509372,994.1924782447823,413.2138134921452,True,NONE
370,2023-06-25,30465.3,29031.85937915803,27906.339613853313,1125.519765304718,593.3063665569573,True,NONE
371,2023-06-26,30267.0,29307.7300793922,28108.43285499195,1199.2972244002522,752.495760764402,True,NONE
372,2023-06-27,30689.1,29630.283218123215,28336.4074936304,1293.8757244928165,899.5664901118682,True,NONE
373,2023-06-28,30078.6,29788.066934772978,28500.01084076718,1288.0560940057985,1014.3864992362136,True,NONE
374,2023-06-29,30445.7,29970.47486268818,28678.066848821847,1292.408013866334,1105.433493144246,True,NONE
375,2023-06-30,30472.9,30126.105143926405,28847.06729556867,1279.0378483577333,1170.5030637142681,True,NONE
376,2023-07-01,30586.8,30281.039180763386,29012.66039340719,1268.378787356196,1212.8671610365984,True,NONE
377,2023-07-02,30617.7,30407.48399860878,29183.177829969365,1224.306168639414,1231.421775500283,False,SELL
378,2023-07-03,31151.3,30578.19729340904,29370.52866667484,1207.668626734201,1236.3849558108243,False,NONE
379,2023-07-04,30768.4,30622.728649463035,29520.989625629547,1101.7390238334883,1212.0431295778899,False,NONE
380,2023-07-05,30512.8,30618.133008862475,29636.98143813466,981.1515707278159,1162.3916005758351,False,NONE
381,2023-07-06,29913.1,30494.499908465867,29693.833250826105,800.666657639762,1080.4563379137253,False,NONE
382,2023-07-07,30346.4,30468.010275532204,29789.89736962134,678.1129059108644,985.173598884623,False,NONE
383,2023-07-08,30288.8,30436.94620492195,29873.07374844889,563.8724564730619,883.4909242990591,False,NONE
384,2023-07-09,30166.9,30393.41947218671,29939.996095465493,453.4233767212172,777.2930805006598,False,NONE
385,2023-07-10,30415.3,30391.366702637537,30022.754731706496,368.61197093104056,673.6537873788403,False,NONE
386,2023-07-11,30623.3,30437.82936125701,30125.474335788524,312.3550254684851,578.3939676082491,False,NONE
387,2023-07-12,30387.3,30428.899770170123,30195.70685666667,233.19291350345156,485.5095046185235,False,NONE
388,2023-07-13,31466.1,30608.126287452345,30344.13338899184,263.9928984605067,418.5031856075039,False,NONE
389,2023-07-14,30317.4,30558.067245785252,30382.458916677297,175.6083291079558,347.6433158211335,False,NONE
390,2023-07-15,30291.4,30510.583439696136,30417.602183759947,92.98125593618897,275.3432580731286,False,NONE
391,2023-07-16,30235.5,30450.13754743587,30440.04319506028,10.094352375588642,203.27384894794145,False,NONE
392,2023-07-17,30139.7,30389.93479768853,30437.21491417828,-47.28011648975007,135.71151431562697,False,NONE
393,2023-07-18,29866.8,30296.66699529965,30393.582885983033,-96.91589068338362,73.28875427315994,False,NONE
394,2023-07-19,29909.7,30237.066319166228,30357.943230953908,-120.87691178768,20.639076050782524,False,NONE
395,2023-07-20,29801.0,30159.184725984298,30307.377058560345,-148.1923325760472,-25.5605094074005,False,NONE
396,2023-07-21,29903.1,30112.153364827733,30270.747253612484,-158.59388878475147,-63.4972977719023,False,NONE
397,2023-07-22,29788.9,30054.94076406041,30227.884964201556,-172.9442001411444,-95.15754520031285,False,NONE
398,2023-07-23,30085.9,30053.184292776965,30215.447883313303,-162.2635905363386,-118.83365415867053,False,NONE
399,2023-07-24,29178.1,29889.95277917964,30122.590564762675,-232.63778558303602,-151.416085850562,False,NONE
400,2023-07-25,29228.6,29765.273397814944,30047.35896572799,-282.08556791304727,-186.5733586346852,False,NONE
401,2023-07-26,29352.2,29659.885682952172,29984.274511597236,-324.38882864506377,-222.18346570326793,False,NONE
402,2023-07-27,29222.7,29570.9602246417,29914.6093534431,-343.6491288013967,-253.60665881592752,False,NONE
403,2023-07-28,29315.0,29512.25698022714,29856.71265248734,-344.4556722601992,-277.7317859272255,False,NONE
404,2023-07-29,29353.5,29470.376430391236,29806.037008575673,-335.6605781844373,-294.4848205469135,False,NONE
405,2023-07-30,29281.7,29424.36789227769,29747.379303616686,-323.0114113389973,-304.3959448292361,False,NONE
406,2023-07-31,29232.4,29382.278429860795,29692.950951705418,-310.6725218446227,-309.3099755782841,False,NONE
407,2023-08-01,29712.2,29429.126706959305,29685.890375816347,-256.7636688570419,-300.81724719669853,True,BUY
408,2023-08-02,29173.7,29377.414872009023,29640.112642111548,-262.6977701025244,-295.6096022835749,True,NONE
409,2023-08-03,29189.3,29334.34671019157,29594.453749990542,-260.1070397989715,-289.16994647585545,True,NONE
410,2023-08-04,29105.5,29285.61378353402,29545.691868285292,-260.0780847512724,-282.82211700241197,True,NONE
411,2023-08-05,29068.1,29232.005994217576,29498.667314974453,-266.6613207568771,-278.20114648675457,True,NONE
412,2023-08-06,29081.3,29206.904606955988,29453.61069873479,-246.70609177880033,-269.5698751210452,True,NONE
413,2023-08-07,29204.2,29206.00559278861,29420.093245746903,-214.0876529582929,-255.33703037211436,True,NONE
414,2023-08-08,29777.4,29302.327913180077,29440.095418398047,-137.7675052179693,-227.0622039129697,True,NONE
415,2023-08-09,29578.0,29351.771042661847,29430.296544396806,-78.52550173495911,-191.47300925929534,True,NONE
416,2023-08-10,29449.0,29369.38144976614,29422.476868194593,-53.09541842845283,-157.60068828080549,True,NONE
